 by Role ,από το ρόλο
Mandatory fields required in {0},Υποχρεωτικά πεδία είναι υποχρεωτικά σε {0}
Mandatory filters required:\n,Απαιτείται υποχρεωτική φίλτρα : \ n
Message,Μήνυμα
Missing Values Required,Λείπει τιμές Απαραίτητα
Modified by,Τροποποιήθηκε από
More,Περισσότερο
Move Down: {0},Μετακίνηση προς τα κάτω : {0}
Move Up: {0},Μετακίνηση Up : {0}
My Settings,Οι ρυθμίσεις μου
Name is required,Όνομα απαιτείται
Name not permitted,Όνομα δεν επιτρέπεται
New,νέος
New Record,Νέα Εγγραφή
Next Record,Επόμενη εγγραφή
Next actions,Επόμενη δράσεις
No,Όχι
No Communication tagged with this ,Δεν ανακοίνωση με ετικέτα αυτή
No Report Loaded. Please use query-report/[Report Name] to run a report.,Δεν Report Loaded. Παρακαλούμε χρησιμοποιήστε το ερώτημα-αναφορά / [Name] αναφορά στη εκτελέσετε μια έκθεση.
No Results,Δεν υπάρχουν αποτελέσματα
No document selected,Δεν επιλεγμένο έγγραφο
No one,Κανένας
No permission to edit,Δεν έχετε άδεια για να επεξεργαστείτε
No records tagged.,Δεν υπάρχουν αρχεία ετικέτα.
None,Κανένας
None: End of Workflow,Κανένας: Τέλος της ροής εργασίας
Not Found,Δεν Βρέθηκε
Not Linked to any record.,Δεν συνδέονται με καμία εγγραφή.
Not Permitted,Δεν επιτρέπεται
Not Submitted,δεν Υποβλήθηκε
Not allowed,δεν επιτρέπεται
Not enough permission to see links.,Δεν υπάρχουν αρκετά δικαιώματα για να δείτε συνδέσμους.
Not equals,δεν ισούται
Not found,δεν βρέθηκε
Not permitted,δεν επιτρέπεται
Note: Other permission rules may also apply,Σημείωση: Άλλοι κανόνες άδεια μπορεί επίσης να εφαρμοστεί
Nothing to show,Δεν έχει τίποτα να δείξει
Nothing to show for this selection,Δεν έχει τίποτα να δείξει για αυτή την επιλογή
Notify By Email,Ειδοποιήσουμε με email
Open source ERP built for the web,Open source ERP χτίστηκε για το διαδίκτυο
Or Created By,Ή δημιουργία
Original Message,Αρχικό μήνυμα
Page not found,Η σελίδα δεν βρέθηκε
Permanently Cancel {0}?,Μόνιμα Ακύρωση {0} ;
Permanently Submit {0}?,Μόνιμα Υποβολή {0} ;
Permanently delete {0}?,Να διαγράψετε οριστικά {0} ;
Pick Columns,Διαλέξτε Στήλες
Please attach a file first.,Επισυνάψτε ένα αρχείο για πρώτη φορά.
Please attach a file or set a URL,Παρακαλείστε να επισυνάψετε ένα αρχείο ή να ορίσετε μια διεύθυνση URL
Please enable pop-ups,Παρακαλούμε ενεργοποιήστε τα pop-ups
Please enter Event's Date and Time!,"Παρακαλούμε, εισάγετε Ημερομηνία Γεγονός και ώρα !"
Please enter some text!,Παρακαλώ εισάγετε κάποιο κείμενο !
Please enter title!,Παρακαλώ εισάγετε τον τίτλο !
Please login to Upvote!,Παρακαλούμε συνδεθείτε για να Upvote !
Please specify,Διευκρινίστε
Please specify a,Παρακαλείστε να προσδιορίσετε μια
Post already exists. Cannot add again!,Δημοσίευση υπάρχει ήδη . Δεν είναι δυνατή η προσθήκη και πάλι !
Post does not exist. Please add post!,Δημοσίευση δεν υπάρχει . Παρακαλώ προσθέστε το post!
Previous Record,Προηγούμενη Εγγραφή
Print,αποτύπωμα
Print...,Εκτύπωση ...
Priority,Προτεραιότητα
Query Report,Έκθεση ερωτήματος
Refresh,Φρεσκάρω
Reload Page,Ανανέωση της σελίδας
Remove Bookmark,Κατάργηση Bookmark
Rename...,Μετονομασία ...
Report,Αναφορά
Report was not saved (there were errors),Έκθεση δεν αποθηκεύτηκε (υπήρχαν σφάλματα)
Save,εκτός
Search,Αναζήτηση
Select All,Επιλέξτε All
Select Attachments,Επιλέξτε Συνημμένα
Select Print Format,Επιλέξτε έντυπη μορφή
Select Report Name,Επιλογή Όνομα Έκθεση
Select To Download:,Επιλέξτε για να κατεβάσετε :
Select Type,Επιλέξτε Τύπο
Select dates to create a new ,Επιλέξτε ημερομηνίες για να δημιουργήσετε ένα νέο
Select or drag across time slots to create a new event.,Επιλέξτε ή σύρετε χρονοθυρίδες για να δημιουργήσετε ένα νέο συμβάν.
Send,Αποστολή
Send As Email,Αποστολή ως e-mail
Send Me A Copy,Στείλτε μου ένα αντίγραφο
Sent or Received,Αποστέλλονται ή λαμβάνονται
Serial No,Αύξων αριθμός
Session Expired. Logging you out,Συνεδρία Έληξε. Έξοδος από
Set Link,Ρύθμιση σύνδεσης
Shortcut,Συντόμευση
Show Details,Δείτε Λεπτομέρειες
Show Tags,Εμφάνιση Ετικέτες
Show rows with zero values,Εμφάνιση σειρές με μηδενικές τιμές
Showing only for (if not empty),Εμφάνιση μόνο ( αν δεν είναι άδειο)
Sorry we were unable to find what you were looking for.,Δυστυχώς δεν μπορέσαμε να βρείτε αυτό που ψάχνατε.
Sorry you are not permitted to view this page.,Δυστυχώς δεν σας επιτρέπεται να δείτε αυτή τη σελίδα.
Sort By,Ταξινόμηση
Start Report For,Ξεκινήστε την έκθεση για το
Subject,Θέμα
Submit,Υποβολή
Submitted,Υποβλήθηκε
Switch to Website,Αλλαγή σε ιστοσελίδα
Tags,Tags
Test Runner,Runner Test
Then By (optional),"Στη συνέχεια, με (προαιρετικό)"
There were errors,Υπήρξαν σφάλματα
There were errors while sending email. Please try again.,Υπήρξαν σφάλματα κατά την αποστολή ηλεκτρονικού ταχυδρομείου . Παρακαλώ δοκιμάστε ξανά .
This is PERMANENT action and you cannot undo. Continue?,Αυτό είναι μόνιμη δράση και δεν μπορείτε να αναιρέσετε. Συνέχεια;
This is permanent action and you cannot undo. Continue?,Αυτό είναι μόνιμη δράση και δεν μπορείτε να αναιρέσετε. Συνέχεια;
To,Να
"To report an issue, go to ",
"To run a test add the module name in the route after '{0}'. For example, {1}","Για να εκτελέσετε μια δοκιμή προσθέστε το όνομα της ενότητας στη γραμμή μετά από '{0}' . Για παράδειγμα, το {1}"
Unable to load: {0},Δεν είναι δυνατή η φόρτιση : {0}
Unknown Column: {0},Άγνωστος Στήλη : {0}
Unknown Print Format: {0},Άγνωστη Τύπος εκτύπωσης: {0}
Unread Messages,Μη αναγνωσμένα μηνύματα
Update,Ενημέρωση
Upload,Μεταφόρτωση
Upload Attachment,Ανεβάστε Συνημμένο
Upload a file,Μεταφόρτωση αρχείου
Uploading...,Μεταφόρτωση ...
User Permission Restrictions,Περιορισμοί άδεια χρήστη
User Restrictions,Περιορισμοί χρήστη
With Groups,με Ομάδες
With Ledgers,με Καθολικά
Workflow will start after saving.,Workflow θα ξεκινήσει μετά την αποθήκευση.
Yes,Ναί
Yesterday,Χτες
You are not allowed to create / edit reports,Δεν επιτρέπεται να δημιουργήσετε / επεξεργαστείτε εκθέσεις
You are not allowed to create {0},Δεν επιτρέπεται να δημιουργήσετε {0}
You are not allowed to export this report,Δεν επιτρέπεται να εξάγουν αυτή την έκθεση
You are not allowed to print this document,Δεν επιτρέπεται να εκτυπώσετε το έγγραφο
You are not allowed to send emails related to this document,Δεν επιτρέπεται να στείλετε μηνύματα ηλεκτρονικού ταχυδρομείου που σχετίζονται με αυτό το έγγραφο
"Your download is being built, this may take a few moments...","Η λήψη σας χτίζεται, αυτό μπορεί να διαρκέσει λίγα λεπτά ..."
and,και
comment,σχόλιο
comments,σχόλια
found,βρέθηκαν
is not allowed.,δεν επιτρέπεται.
or,ή
to,να
values and dates,τιμές και οι ημερομηνίες
