 by Role ,по улози
Original Message,Оригинал Мессаге
Page not found,Страница није пронађена
Permanently Cancel {0}?,Постоянно Отменить {0} ?
Permanently Submit {0}?,Постоянно Представьте {0} ?
Permanently delete {0}?,Навсегда удалить {0} ?
Pick Columns,Пицк колоне
Please attach a file first.,Молимо приложите прво датотеку.
Please attach a file or set a URL,Молимо вас да приложите датотеку или поставите УРЛ
Please enable pop-ups,Молимо омогућите искачуће прозоре
Please enter Event's Date and Time!,"Пожалуйста, введите мероприятия Дата и время !"
Please enter some text!,"Пожалуйста, введите текст !"
Please enter title!,"Пожалуйста, введите название !"
Please login to Upvote!,"Пожалуйста, войдите , чтобы Upvote !"
Please specify,Наведите
Please specify a,Наведите
Post already exists. Cannot add again!,Сообщение уже существует. Не можете добавить снова!
Post does not exist. Please add post!,"Сообщение не существует. Пожалуйста, добавьте пост !"
Previous Record,Предыдущая запись
Print,штампа
Print...,Штампа ...
Priority,Приоритет
Query Report,Извештај упита
Refresh,Освежити
Reload Page,Перезагрузка страницу
Remove Bookmark,Уклоните Боокмарк
Rename...,Преименуј ...
Report,Извештај
Report was not saved (there were errors),Извештај није сачуван (било грешака)
Save,сачувати
Search,Претрага
Select All,Изабери све
Select Attachments,Изаберите прилоге
Select Print Format,Изаберите формат штампања
Select Report Name,Изаберите име Репорт
Select To Download:,Выберите на скачивание :
Select Type,Изаберите Врста
Select dates to create a new ,Изаберите датум да створи нову
Select or drag across time slots to create a new event.,Изаберите или превуците преко терминима да креирате нови догађај.
Send,Послати
Send As Email,Пошаљи као емаил
Send Me A Copy,Пошаљи ми копију
Sent or Received,Послате или примљене
Serial No,Серијски број
Session Expired. Logging you out,Сесија је истекла. Логгинг те из
Set Link,Сет линк
Shortcut,Пречица
Show Details,Прикажи детаље
Show Tags,Схов Ознаке
Show rows with zero values,Покажи редове са нула вредностима
Showing only for (if not empty),Показаны только (если не пусто)
Sorry we were unable to find what you were looking for.,Жао ми је што нису могли да пронађу оно што сте тражили.
Sorry you are not permitted to view this page.,Жао ми је што није дозвољено да видите ову страницу.
Sort By,Сортирање
Start Report For,Почетак ИЗВЕШТАЈ ЗА
Subject,Предмет
Submit,Поднети
Submitted,Поднет
Switch to Website,Перейти на сайт
Tags,Тагс:
Test Runner,Тест Руннер
Then By (optional),Затим (опционо)
There were errors,Были ошибки
There were errors while sending email. Please try again.,"Были ошибки при отправке электронной почты . Пожалуйста, попробуйте еще раз ."
This is PERMANENT action and you cannot undo. Continue?,То је стална акција и не можете да опозовете. Наставити?
This is permanent action and you cannot undo. Continue?,То је стална акција и не можете да опозовете. Наставити?
To,До
"To report an issue, go to ",
"To run a test add the module name in the route after '{0}'. For example, {1}","Чтобы запустить тест добавить имя модуля в маршруте после ' {0}' . Например, {1}"
Unable to load: {0},Невозможно нагрузки : {0}
Unknown Column: {0},Неизвестный Колонка: {0}
Unknown Print Format: {0},Неизвестно Формат печати : {0}
Unread Messages,Непрочитаних порука
Update,Ажурирање
Upload,Уплоад
Upload Attachment,Уплоад прилог
Upload a file,Уплоад фајл
Uploading...,Отпремање ...
User Permission Restrictions,Пользователь Введено Ограничения
User Restrictions,Ограничения пользователей
With Groups,С группы
With Ledgers,С Ledgers
Workflow will start after saving.,Воркфлов ће почети након штедње.
Yes,Да
Yesterday,Јуче
You are not allowed to create / edit reports,Вы не можете создавать / редактировать отчеты
You are not allowed to create {0},Вы не можете создать {0}
You are not allowed to export this report,Вам не разрешено экспортировать этот отчет
You are not allowed to print this document,Вы не можете распечатать этот документ
You are not allowed to send emails related to this document,"Вы не можете отправлять письма , связанные с этим документом"
"Your download is being built, this may take a few moments...","Преузимање се гради, ово може да потраје неколико тренутака ..."
and,и
comment,коментар
comments,Коментари
found,фоунд
is not allowed.,није дозвољено.
or,или
to,до
values and dates,вредности и датуми
