 by Role ,per rol
Show Details,Show Details
Show Tags,Toon Tags
Show rows with zero values,Toon rijen met nulwaarden
Showing only for (if not empty),Slechts het tonen van (indien niet leeg )
Sorry we were unable to find what you were looking for.,Sorry we waren niet in staat om te vinden wat u zocht.
Sorry you are not permitted to view this page.,Sorry dat je niet toegestaan ​​om deze pagina te bekijken.
Sort By,Sorteer op
Start Report For,Start Rapport Voor
Subject,Onderwerp
Submit,Voorleggen
Submitted,Ingezonden
Switch to Website,Schakel over naar Website
Tags,Tags
Test Runner,Test Runner
Then By (optional),Vervolgens op (optioneel)
There were errors,Er zijn fouten
There were errors while sending email. Please try again.,Er zijn fouten opgetreden tijdens het versturen van e-mail. Probeer het opnieuw .
This is PERMANENT action and you cannot undo. Continue?,Dit is PERMANENTE actie en u ongedaan kunt maken niet. Doorgaan?
This is permanent action and you cannot undo. Continue?,Dit is een permanente actie en u ongedaan kunt maken niet. Doorgaan?
To,Naar
"To report an issue, go to ",
"To run a test add the module name in the route after '{0}'. For example, {1}","Om een test voeg de module naam in de route na ' {0} ' . Bijvoorbeeld , {1}"
Unable to load: {0},Niet in staat om belasting: {0}
Unknown Column: {0},Onbekend Column : {0}
Unknown Print Format: {0},Onbekend Print Formaat : {0}
Unread Messages,Ongelezen berichten
Update,Bijwerken
Upload,uploaden
Upload Attachment,Upload Attachment
Upload a file,Een bestand uploaden
Uploading...,Uploaden ...
User Permission Restrictions,Gebruiker Toestemming Beperkingen
User Restrictions,gebruikersbeperkingen
With Groups,met Groepen
With Ledgers,met Ledgers
Workflow will start after saving.,Workflow begint na het opslaan.
Yes,Ja
Yesterday,Gisteren
You are not allowed to create / edit reports,U bent niet toegestaan ​​om / bewerken van rapporten
You are not allowed to create {0},U bent niet toegestaan ​​om {0}
You are not allowed to export this report,U bent niet bevoegd om dit rapport te exporteren
You are not allowed to print this document,U bent niet gemachtigd om dit document af te drukken
You are not allowed to send emails related to this document,Het is niet toegestaan ​​om e-mails met betrekking tot dit document te versturen
"Your download is being built, this may take a few moments...","Uw download wordt gebouwd, kan dit enige tijd duren ..."
and,en
comment,commentaar
comments,reacties
found,gevonden
is not allowed.,is niet toegestaan.
or,of
to,naar
values and dates,waarden en data
