 by Role ,por função
None: End of Workflow,Nenhum: Fim do fluxo de trabalho
Not Found,Não Encontrado
Not Linked to any record.,Não relacionado a qualquer registro.
Not Permitted,Não Permitido
Not Submitted,não enviado
Not allowed,não permitido
Not enough permission to see links.,Sem permissão suficiente para ver os links.
Not equals,não iguais
Not found,não foi encontrado
Not permitted,não é permitido
Note: Other permission rules may also apply,Nota: Outras regras de permissão também podem se aplicar
Nothing to show,Nada para mostrar
Nothing to show for this selection,Nada para mostrar para esta seleção
Notify By Email,Notificar por e-mail
Open source ERP built for the web,ERP de código aberto construído para a web
Or Created By,Ou Criado por
Original Message,Mensagem original
Page not found,Página não encontrada
Permanently Cancel {0}?,Permanentemente Cancelar {0} ?
Permanently Submit {0}?,Permanentemente Enviar {0} ?
Permanently delete {0}?,Excluir permanentemente {0} ?
Pick Columns,Escolha as Colunas
Please attach a file first.,"Por favor, anexar um arquivo pela primeira vez."
Please attach a file or set a URL,"Por favor, anexar um arquivo ou definir uma URL"
Please enable pop-ups,Por favor habilite os pop-ups
Please enter Event's Date and Time!,"Por favor, indique a data ea hora do evento!"
Please enter some text!,"Por favor, digite algum texto!"
Please enter title!,"Por favor, indique título!"
Please login to Upvote!,Por favor login para upvote !
Please specify,"Por favor, especifique"
Please specify a,"Por favor, especifique um"
Post already exists. Cannot add again!,Publicar já existe. Não é possível adicionar mais uma vez !
Post does not exist. Please add post!,"O Post não existe. Por favor, adicione post!"
Previous Record,Registro anterior
Print,impressão
Print...,Imprimir ...
Priority,Prioridade
Query Report,Relatório da Consulta
Refresh,Atualizar
Reload Page,Atualizar Página
Remove Bookmark,Remover Bookmark
Rename...,Renomear ...
Report,Relatório
Report was not saved (there were errors),O Relatório não foi salvo (houve erros)
Save,salvar
Search,Pesquisar
Select All,Selecionar tudo
Select Attachments,Selecione os Anexos
Select Print Format,Selecione o Formato de Impressão
Select Report Name,Selecione o Nome do Relatório
Select To Download:,Selecione Para Download:
Select Type,Selecione o Tipo
Select dates to create a new ,Selecione as datas para criar uma nova
Select or drag across time slots to create a new event.,Selecione ou arraste intervalos de tempo para criar um novo evento.
Send,Enviar
Send As Email,Enviar como e-mail
Send Me A Copy,Envie-me uma cópia
Sent or Received,Enviados ou recebidos
Serial No,Nº de Série
Session Expired. Logging you out,A sessão expirou. Você será deslogado
Set Link,Definir ligação
Shortcut,Atalho
Show Details,Ver detalhes
Show Tags,Mostrar Marcações
Show rows with zero values,Mostrar as linhas com valores zero
Showing only for (if not empty),Mostrando apenas para (se não está vazio )
Sorry we were unable to find what you were looking for.,"Desculpe, não encontramos o que você estava procurando."
Sorry you are not permitted to view this page.,"Desculpe, você não tem permissão para visualizar esta página."
Sort By,Classificar por
Start Report For,Começar Relatório para
Subject,Assunto
Submit,Enviar
Submitted,Enviado
Switch to Website,Mude para o site
Tags,Etiquetas
Test Runner,Test Runner
Then By (optional),"Em seguida, por (opcional)"
There were errors,Ocorreram erros
There were errors while sending email. Please try again.,"Ocorreram erros durante o envio de e-mail. Por favor, tente novamente."
This is PERMANENT action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
This is permanent action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
To,Para
"To report an issue, go to ",
"To run a test add the module name in the route after '{0}'. For example, {1}","Para executar um teste de adicionar o nome do módulo na rota depois de '{0}'. Por exemplo , {1}"
Unable to load: {0},Incapaz de carga : {0}
Unknown Column: {0},Coluna desconhecido: {0}
Unknown Print Format: {0},Unknown Formato de Impressão : {0}
Unread Messages,Mensagens não lidas
Update,Atualizar
Upload,carregar
Upload Attachment,Carregar anexos
Upload a file,Carregar um arquivo
Uploading...,Upload ...
User Permission Restrictions,Restrições a permissão do usuário
User Restrictions,Restrições de Usuário
With Groups,com Grupos
With Ledgers,com Ledgers
Workflow will start after saving.,Fluxo de trabalho será iníciado após salvar.
Yes,Sim
Yesterday,Ontem
You are not allowed to create / edit reports,Você não tem permissão para criar / editar relatórios
You are not allowed to create {0},Você não tem permissão para criar {0}
You are not allowed to export this report,Você não tem permissão para exportar este relatório
You are not allowed to print this document,Você não tem permissão para imprimir este documento
You are not allowed to send emails related to this document,Você não tem permissão para enviar e-mails relacionados a este documento
"Your download is being built, this may take a few moments...","O seu download está sendo construído, isso pode demorar alguns instantes ..."
and,e
comment,comentário
comments,comentários
found,encontrado
is not allowed.,não é permitido.
or,ou
to,para
values and dates,valores e datas
